version,reserved0,refStationID,iTOW,relPosN,relPosE,relPosD,relPosLength,relPosHeading,reserved1,accN,accE,accD,accLength,accHeading,reserved2,gnssFixOK,diffSoln,relPosValid,carrSoln,isMoving,refPosMiss,refObsMiss,relPosHeadingValid,relPosNormalized
1,0,0,94454000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94455000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94456000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94457000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94458000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94459000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94460000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94461000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94462000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94463000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94464000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94465000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94466000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94467000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94468000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94469000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94470000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94471000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94472000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94473000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94474000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94475000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94476000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
1,0,0,94477000,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0
